card_name,issuer,rewards_groceries,premium_travel_card,rewards_dining,rewards_travel,annual_fee,min_credit_score,is_524_sensitive,preapproval_tool,bonus_offer,nickname,sensitive_to_inquiries,sapphire_sub_lock,sapphire_hold_lock,lounge_access,metal_card,no_foreign_txn,luxury_perks,beginner_friendly,apply_link,logo_url,card_icon_url
Amex Gold,Amex,0.04,No,0.04,0.01,325,680,No,Yes,60k points after $4k in 6 months,$350 coupon book with vibes,Yes,No,No,No,Yes,No,Some,No,https://www.americanexpress.com/us/credit-cards/card/gold-card/,https://www.aexp-static.com/cdaas/one/statics/axp-static-assets/1.8.0/package/dist/img/logos/dls-logo-bluebox-solid.svg,https://icm.aexp-static.com/Internet/internationalcardshop/en_sg/images/cards/gold-card.png
Chase Sapphire Preferred,Chase,0.01,Yes,0.03,0.02,95,700,Yes,No,60k points after $4k in 3 months,gateway drug to premium travel,Yes,Yes,Yes,Limited,Yes,Yes,Some,No,https://creditcards.chase.com/rewards-credit-cards/sapphire/preferred,https://upload.wikimedia.org/wikipedia/commons/e/ed/Chase_logo_2007.svg,https://creditcards.chase.com/content/dam/jpmc-marketplace/card-art/sapphire_preferred_card.png
Chase Sapphire Reserve,Chase,0.01,Yes,0.03,0.03,550,740,Yes,No,60k points after $4k in 3 months,rich people’s points cannon,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,https://creditcards.chase.com/rewards-credit-cards/sapphire/reserve,https://upload.wikimedia.org/wikipedia/commons/e/ed/Chase_logo_2007.svg,https://creditcards.chase.com/content/dam/jpmc-marketplace/card-art/sapphire_reserve_card.png
Capital One Venture X,Capital One,0.02,Yes,0.02,0.02,395,720,No,Yes,75k miles after $4k in 3 months,credit card with TSA PreCheck,No,No,No,Yes,Yes,Yes,Yes,No,https://www.capitalone.com/credit-cards/venture-x/,https://upload.wikimedia.org/wikipedia/commons/9/98/Capital_One_logo.svg,https://ecm.capitalone.com/WCM/card/products/venturex-cg-static-card-1000x630-2.png
Citi Double Cash,Citi,0.02,No,0.02,0.02,0,670,No,No,,boring but useful,Yes,No,No,No,No,Yes,No,No,https://www.citi.com/credit-cards/citi-double-cash-credit-card,https://upload.wikimedia.org/wikipedia/commons/1/1b/Citi.svg,https://www.zdnet.com/a/img/resize/cfdf7c70c4d93a1676a130eb74af7df554a7d994/2022/01/24/87c16967-7a4b-4c0d-9338-394fc02259ee/160913-gal-ccs-cash-citidouble.jpg?auto=webp&fit=crop&height=900&width=1200
Citi Custom Cash,Citi,0.05,No,0.01,0.01,0,680,No,No,20k points after $750 in 3 months,choose your own cashback adventure,Yes,No,No,No,No,No,No,No,https://www.citi.com/credit-cards/custom-cash-credit-card,https://upload.wikimedia.org/wikipedia/commons/1/1b/Citi.svg,https://creditkarma-cms.imgix.net/wp-content/uploads/2024/07/image_5157f8.png
Discover it Cash Back,Discover,0.05,No,0.01,0.01,0,660,No,Yes,Cashback match first year,hidden gem for beginners,No,No,No,No,No,No,No,Yes,https://www.discover.com/credit-cards/cash-back/,https://play-lh.googleusercontent.com/EbIw2XpbAvJtjWytHK5SMtUXvu0ASUyAc7jbsi1GfqlX8qbXaZF8F_NqWHdcG0Pgpys,https://creditkarma-cms.imgix.net/wp-content/uploads/2024/07/image_3c2abe.png?auto=compress
Chase Freedom Unlimited,Chase,0.015,No,0.03,0.015,0,680,Yes,No,1.5% back + $200 after $500,solid starter for Chase ecosystem,Yes,No,No,No,No,Yes,No,Yes,https://creditcards.chase.com/cash-back-credit-cards/freedom/unlimited,https://upload.wikimedia.org/wikipedia/commons/e/ed/Chase_logo_2007.svg,https://www.chase.com/content/dam/chase-ux/heroimage/primary/personal/credit-cards/freedom/freedom-unlimited-credit-card.png
Capital One SavorOne,Capital One,0.03,No,0.03,0.01,0,670,No,Yes,$200 after $500 in 3 months,dining + Spotify points machine,No,No,No,No,No,Yes,No,Yes,https://www.capitalone.com/credit-cards/savorone/,https://upload.wikimedia.org/wikipedia/commons/9/98/Capital_One_logo.svg,https://ecm.capitalone.com/WCM/card/products/new-savor-card-art.png
Bank of America Customized Cash,Bank of America,0.03,,0.03,0.01,0,670,No,Yes,200 online cash rewards,quietly decent if you bank here,Yes,No,No,No,No,No,No,Yes,https://www.bankofamerica.com/credit-cards/products/cash-back-credit-card/,https://static.vecteezy.com/system/resources/previews/027/127/485/non_2x/bank-of-america-logo-bank-of-america-icon-transparent-free-png.png,https://promo.bankofamerica.com/ccsearchlp10/compare-cards-3/static.13214/media/card-customizedcashrewards.ba17bb4ae3207d7f754d.png
